Lot No,Title,Description
22,Capodimonte Italian Porcelain Floral Sculpture On Branch,"A Capodimonte porcelain sculpture featuring two cream-colored blossoms with yellow and red stamens. The flowers are set amidst green foliage on a textured, bark-effect branch base. The underside includes a maker's mark reading ""CAPODIMONTE N porcellane Aita MADE IN ITALY"" under a crown insignia."
24,Royal Doulton Bone China Figurine A Gypsy Dance HN2230,"A Royal Doulton bone china figurine depicting a woman in a flowing white gown with purple accents. The figure is posed mid-dance, holding a pleated fan in her right hand while lifting the hem of her skirt with her left. The base features the green Royal Doulton lion and crown maker's mark, designating the piece as ""Made in England"" and ""Bone China."""
26,Set of Six Frosted Glass Tumblers with Silver Rims,A set of six frosted glass tumblers. Each vessel features a flared rim decorated with a wide silver-tone band and a thin red horizontal stripe. The glasses are constructed with a footed base.
35,Elegant Cut Lead Crystal Water Pitcher Jug,"A singular lead crystal pitcher featuring a flared pouring spout and an applied smooth glass handle. The body is decorated with a deep vertical swirl or ribbed cut pattern that extends from the base to the neck. The vessel is constructed of clear, heavy transparent glass."
39,Vintage Chinese Blue and White Porcelain Elephant Plant Stand,"Glazed porcelain elephant-form stand featuring a blue, white, and pink color palette. The figure is depicted with a raised trunk and ornamental saddlecloth decorated with floral and scrollwork motifs. The top surface consists of a flat, rectangular platform with a geometric border. Molded anatomical details include ears, tusks, and caparison."
41,Fenton Silver Crest Hand Painted Ruffled Milk Glass Compote,"A footed milk glass vessel featuring a ruffled ""Silver Crest"" rim with gold-toned gilding. The interior bowl displays hand-painted floral motifs including pink roses and blue forget-me-nots connected by green leafy vines. The center well and circular pedestal base are accented with gold leaf-style patterns. The exterior is unadorned white milk glass."
43,Bohemian Cranberry Cut to Clear Crystal Starburst Vase,"A large Bohemian-style leaded crystal vase featuring cranberry red glass overlay cut to clear. The vessel displays intricate hand-cut geometric patterns including large spinning starbursts, smaller multi-point stars, and cross-hatch diamond motifs. The rim is finished with a continuous sawtooth edge and the base features polished vertical thumbprint cuts."
46,Vintage Glazed Ceramic Cherub Figural Planter Vase,"A molded ceramic figural vessel featuring a putti or cherub supporting a large scalloped shell on its shoulders. The piece is finished in a uniform cream-colored high-gloss glaze. The underside of the base is hollow and bears the hand-incised marking ""1986 Pk."""
54,Stangl Pottery Antique Gold Pitcher and Bowl Set,"Two-piece ceramic lot from Stangl Pottery, Trenton, N.J., featuring the ""Antique Gold"" glaze. Set includes one handled pitcher with a horizontally ribbed body and one large round bowl with a scalloped, thumbprint-style rim. Undersides bear the Stangl Pottery manufacturer's mark, the number 5002, and ""Patent Pending"" stamps."
55,Mid-Century Modern Fred Press Comedy Tragedy Gold Tumblers,"A set of five clear glass tumblers featuring a tapered silhouette. Each vessel is decorated with 22k gold leaf comedy and tragedy theater masks, frosted outlines, and three vertically aligned etched diamond motifs. The rims are finished with a gold gilt band."
